Q1= QuickSort Deterministic  Q2= QucikSort Randomized
M= MergeSort
size        P_value                  Q1_comp                      CI1                     CI11                standard1                  Q2_comp                      CI2                     CI22                standard2                   M_comp                      CI3                     CI33                standard3                   Q1_CPU                      CI4                     CI44                standard4                   Q2_CPU                      CI5                     CI55                standard5                    M_CPU                      CI6                     CI66                standard6
10            0.5                  685.879                  427.203                  944.555                  659.889                  460.574                  290.218                  630.931                  434.583                  365.667                  231.338                  499.996                  342.676                0.0408425               -0.0174387                0.0991238                 0.148677                0.0711194                -0.022799                 0.165038                 0.239588                0.0241282                -0.032174                0.0804305                 0.148677
20            0.5                  136.435                  125.494                  147.377                  27.9121                   84.423                  77.0185                  91.8274                  18.8889                  74.6267                  68.7122                  80.5412                   15.088                0.0016337                -0.028603                0.0318704                0.0771345               0.00284477               -0.0355464                 0.041236                0.0979367                0.0409651               -0.0413978                 0.123328                0.0771345
50            0.5                  299.457                  297.278                  301.636                  5.55876                  278.377                   277.01                  279.744                    3.487                  218.985                  217.776                  220.194                   3.0845              6.53481e-05               -0.0217088                0.0218395                0.0555462                0.0801138               -0.0290267                 0.189254                  0.27842               0.00163861               -0.0343039                0.0375811                0.0555462
100            0.5                  824.978                  820.279                  829.677                  11.9876                  623.135                  618.768                  627.502                  11.1413                  549.759                  546.323                  553.196                  8.76644                 0.120003              -0.00871544                 0.248721                 0.328362                0.0432046               -0.0440514                  0.13046                 0.222592              6.55442e-05               -0.0236743                0.0238054                 0.328362
200            0.5                     2179                  2166.06                  2191.94                  33.0064                  1646.93                  1637.15                   1656.7                  24.9343                  1290.99                  1282.37                  1299.61                  21.9983                   0.1648                0.0142203                  0.31538                 0.384132                 0.161728                0.0133332                 0.310123                 0.378559                0.0400026               -0.0391993                 0.119205                 0.384132
500            0.5                  7404.16                  7369.99                  7438.33                  87.1675                  4625.88                  4600.05                   4651.7                  65.8846                  3860.64                  3840.39                  3880.89                  51.6481                 0.286592                 0.103982                 0.469202                 0.465842                 0.326469                 0.137338                   0.5156                 0.482477                   0.3216                 0.135376                 0.507825                 0.465842
1000            0.5                  13261.2                  13145.1                  13377.3                  296.172                    11062                  10989.5                  11134.6                  185.042                  8844.43                  8783.89                  8904.96                  154.432                 0.491464                 0.288392                 0.694535                  0.51804                 0.693059                 0.502195                 0.883923                 0.486898                 0.572864                 0.370854                 0.774874                  0.51804
10              1                  563.447                  355.507                  771.386                  530.458                  462.481                  289.025                  635.937                   442.49                  375.777                  237.093                  514.461                  353.786                0.0196585               -0.0372936                0.0766107                 0.145286                0.0277224               -0.0280526                0.0834973                 0.142283                0.0229146               -0.0340785                0.0799076                 0.145286
20              1                  121.538                   112.52                  130.555                  23.0038                  82.4993                  75.0624                  89.9361                  18.9716                  76.0311                  69.9572                   82.105                  15.4947              0.000786342               -0.0290985                0.0306712                0.0762369               0.00110889               -0.0284671                0.0306849                 0.075449                0.0409166                -0.041512                 0.123345                0.0762369
50              1                  274.862                  272.919                  276.804                  4.95525                    290.3                  288.962                  291.638                  3.41301                  221.041                   219.81                  222.273                  3.14149              3.14537e-05               -0.0216156                0.0216785                0.0552221              4.43558e-05               -0.0214905                0.0215793                 0.054936                0.0416367               -0.0431784                 0.126452                0.0552221
100              1                  778.994                  774.681                  783.308                  11.0035                  601.612                  597.058                  606.166                  11.6179                  552.842                  549.373                   556.31                  8.84875                0.0400013               -0.0389932                 0.118996                 0.201516                0.0800018               -0.0279211                 0.187925                 0.275313               0.00166547               -0.0348082                0.0381391                 0.201516
200              1                  1921.16                  1908.94                  1933.38                  31.1668                  1776.06                  1766.63                   1785.5                  24.0741                  1287.11                  1278.44                  1295.79                  22.1217                   0.2816                 0.102107                 0.461093                  0.45789                0.0432001               -0.0439464                 0.130347                 0.222312                0.0400666               -0.0403859                 0.120519                  0.45789
500              1                  5931.85                  5901.72                  5961.97                  76.8545                  4965.04                  4937.19                  4992.89                  71.0494                  3895.48                   3875.3                  3915.67                  51.4931                 0.291264                 0.107382                 0.475146                 0.469087                 0.201728                0.0406282                 0.362828                 0.410969                 0.281603                 0.102046                 0.461159                 0.469087
1000              1                  12349.3                  12256.3                  12442.3                   237.28                  12420.6                  12342.7                  12498.5                  198.609                  8863.82                  8802.74                   8924.9                  155.826                 0.451651                 0.249742                 0.653559                 0.515072                 0.848069                 0.659703                  1.03643                 0.480525                 0.531264                 0.328312                 0.734216                 0.515072
